Trench,Square,EU,Context,Unit,Counts,Mass,Recorder,Date
A,SW1,1,1,1,14,27.2,CC,28-Jul-08
A,SW1,1,1,1,1,5.8,CC,28-Jul-08
A,SW1,1,1,1,1,0.5,CC,28-Jul-08
A,SW1,1,1,1,1,0,CC,28-Jul-08
A,SW1,1,1,1,1,0.6,CC,28-Jul-08
A,SW1,1,1,1,1,0.6,CC,28-Jul-08
A,SW1,1,1,1,1,0.5,CC,28-Jul-08
A,SW1,1,1,1,1,1,CC,28-Jul-08
A,SW1,1,1,1,1,0.4,CC,28-Jul-08
A,SW2,2,1,2,1,5.1,HVV,28-Jul-08
A,SW2,2,1,2,51,72.1,HVV,28-Jul-08
A,SW2,2,1,2,1,3.5,HVV,28-Jul-08
A,SW2,2,1,2,1,6.9,HVV,28-Jul-08
A,SW2,2,1,2,1,3.4,HVV,28-Jul-08
A,SW2,2,1,2,1,1.5,HVV,28-Jul-08
A,SW2,2,1,2,1,1.7,HVV,28-Jul-08
A,SW2,2,1,2,1,6.3,HVV,28-Jul-08
A,SW2,2,1,2,1,3.5,HVV,28-Jul-08
A,SW2,2,1,2,1,1.4,HVV,28-Jul-08
A,SW2,2,1,2,1,3,HVV,28-Jul-08
A,SW2,2,1,2,1,2.3,HVV,28-Jul-08
A,SW2,2,1,2,1,4.6,HVV,28-Jul-08
A,SW2,2,1,2,1,3.1,HVV,28-Jul-08
A,SW2,2,1,2,1,1.8,HVV,28-Jul-08
A,SW2,2,1,2,1,1.2,HVV,28-Jul-08
A,SW2,2,1,2,1,3.2,HVV,28-Jul-08
A,SW2,2,1,2,1,1.1,HVV,28-Jul-08
A,SW2,2,1,2,1,1.3,HVV,28-Jul-08
A,SW2,2,1,2,1,0.8,HVV,28-Jul-08
A,SW2,2,1,2,1,1.1,HVV,28-Jul-08
A,SW2,2,1,2,1,1,HVV,28-Jul-08
A,SW2,2,1,2,1,1.5,HVV,28-Jul-08
A,SW2,2,1,2,1,1,HVV,28-Jul-08
A,SW2,2,1,2,1,0.9,HVV,28-Jul-08
A,SW2,2,1,2,1,4.4,HVV,28-Jul-08
A,SW2,2,1,2,1,1.9,HVV,28-Jul-08
A,SW2,2,2,3,1,0.9,CC,28-Jul-08
A,SW3,3,3,5,7,12.5,HVV,28-Jul-08
A,SW3,3,3,5,3,12.1,HVV,28-Jul-08
A,SW3,3,3,5,5,10.8,HVV,28-Jul-08
A,SW3,3,3,5,6,19.9,HVV,28-Jul-08
A,SW3,3,3,5,11,35.4,HVV,28-Jul-08
A,SW3,3,3,5,21,56.7,HVV,28-Jul-08
A,SW4,4,3,5,46,65.7,CC,28-Jul-08
A,SW4,4,3,5,1,2.4,CC,28-Jul-08
A,SW4,4,3,5,1,1.8,CC,28-Jul-08
A,SW4,4,3,5,1,9.2,CC,28-Jul-08
A,SW4,4,3,5,1,5.8,CC,28-Jul-08
A,SW4,4,3,5,1,4.5,CC,28-Jul-08
A,SW4,4,3,5,1,5.9,CC,28-Jul-08
A,SW4,4,3,7,3,10.2,HVV,28-Jul-08
A,SW4,4,3,7,17,17,HVV,28-Jul-08
A,SW4,4,3,7,15,33.1,HVV,28-Jul-08
A,SW4,4,3,7,10,11.1,HVV,28-Jul-08
A,SW4,4,3,7,16,16.7,HVV,28-Jul-08
A,SW4,4,3,7,1,7.6,HVV,28-Jul-08
A,SW4,4,3,7,1,4.6,HVV,28-Jul-08
A,SW4,4,3,7,1,4.4,HVV,28-Jul-08
A,SW4,4,3,7,1,1.3,HVV,28-Jul-08
A,SW4,4,3,7,1,0.6,HVV,28-Jul-08
A,SW4,4,3,7,1,1.3,HVV,28-Jul-08
A,SW4,4,3,7,1,6.1,HVV,28-Jul-08
A,SW4,4,3,7,1,2.3,HVV,28-Jul-08
A,SW4,4,3,7,1,0.9,HVV,28-Jul-08
A,SW4,4,3,7,1,0.6,HVV,28-Jul-08
A,SW4,4,3,7,1,2,HVV,28-Jul-08
A,SW4,4,3,7,1,3,HVV,28-Jul-08
A,SW4,4,3,7,1,1.2,HVV,28-Jul-08
A,SW4,4,3,7,1,3.2,HVV,28-Jul-08
A,SW4,4,3,7,1,1.3,HVV,28-Jul-08
A,SW4,4,3,7,2,6,HVV,28-Jul-08
A,SW4,4,3,7,1,1.4,HVV,28-Jul-08
A,SW4,4,3,7,1,1,HVV,28-Jul-08
A,SW4,4,3,7,1,3.7,HVV,28-Jul-08
A,SW4,4,3,7,1,2.8,HVV,28-Jul-08
A,SW4,4,3,7,1,1.2,HVV,28-Jul-08
A,SW4,4,3,7,1,6.6,HVV,28-Jul-08
A,SW4,4,3,7,1,2.2,HVV,28-Jul-08
