UID,Xsugg,Ysugg,Type_,Unit,Walker,PassGrid,Section,SherdNo,VesselPart,PartType,VesselType,OtherType,Thickness,Coarseness,MaxSize,Feature,Comments,FabricType,MNLN,FNEB1,EB2,LPrePal,FPal,SPal,TPal,PPalPG,Geom,Arch,Class,Hell,ERom,MRom,LRom,EByz,MByz,EVen,MVen,LVen,Recent,Other
0075-7135-S-37,710076.1,3967135.2,grid,0075-7135,59,37,S,37,R,RR,JCon,Lamboglia 2,M,F,4.1,Y,"Lamboglia 2 amphora, rim. Quite fine and fairly soft reddish yellow clay (5YR 5-6/6) with scarce small inclusions and voids.",Adriatic amphora fabric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
0095-7135-V-1,710098.2,3967133.6,grid,0095-7135,29,37,V,1,B,U,U,U,M,C,2.4,N,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0105-7155-S-1,710106.1,3967152.2,grid,0105-7155,28,37,S,1,Ba,BF,U,U,Tk,C,5.1,Y,Base from medium to large sized vessel,SAT,0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0115-7265-V-1,710111.3,3967265.8,grid,0115-7265,21,51,V,1,B,U,U,U,M,C,1.9,N,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125-7115-S-1,710111.1,3967121.2,grid,0115-7125,49,37,S,1,L?,U,CPot?,U,M,C,6.2,Y,Highly abraded small ovoid leg,MUT,0,0,10,10,30,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125-7255-S-2,710128.4,3967259.2,grid,0125-7255,5,51,S,2,Ba,U,U,U,M,C,5,Y,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125-7255-S-3,710128.6,3967257.6,grid,0125-7255,5,51,S,3,R,U,U,U,M,C,4.8,Y,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125-7255-S-4,710124.5,3967251.9,grid,0125-7255,5,51,S,4,R?,U,U,U,M,C,2.7,Y,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125-7255-S-5,710126.3,3967259.2,grid,0125-7255,5,51,S,5,B,U,U,U,M,C,4.7,Y,Perhaps one or more raised plastic bands?,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125-7255-V-1,710120.9,3967251.9,grid,0125-7255,5,51,V,1,H,U,U,U,Tk,C,6.4,Y,"Rounded ovoid in section. Fine sand temper with white chert and shale inclusions, close in appearance to Kytheran SAT but not?",OUT,0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
